apicd,apiname,opercd,opername
15063505,농촌진흥청 국립원예특작과학원_공기정화식물 조회 서비스,25814,국립원예특작과학원 공기정화식물 목록정보
15075935,농촌진흥청 국립농업과학원_우리술 성분 정보,29343,우리술 성분 정보 제공 오픈API 조회 서비스
15075889,농촌진흥청 국립농업과학원_작물별 비료 표준사용량 처방 정보,29170,작물별 비료 표준사용량 처방 정보 조회
15075887,농촌진흥청 국립농업과학원_비료사용처방 체험 정보,29168,벼 이외 작물 비료사용처방 체험 정보 조회
15084605,농촌진흥청 국립원예특작과학원_오늘의 꽃 조회 서비스(2.0),32707,국립원예특작과학원 오늘의 꽃 상세정보
15075936,농촌진흥청 국립농업과학원_농식품 기능성소재 논문 정보제공,30242,기능성소재 논문 식품ID 정보 조회
15077788,농촌진흥청 국립농업과학원_농업유전자원 정보 제공,30220,농업유전자원_식물 정보 조회
15077809,농촌진흥청 국립농업과학원_농식품 식단관리 음식별 영양성분 정보,30253,식단관리(메뉴젠) 음식별 영양성분 정보 조회
15076004,농촌진흥청 국립농업과학원_토양도 기반 토양특성 통계정보,29344,토양특성_토색 통계 정보 조회
15075922,농촌진흥청 국립농업과학원_농경지화학성 통계정보,30210,농경지화학성_유기물 통계 정보 조회
15077775,농촌진흥청 국립농업과학원_국가표준 식품성분 정보 제공,30174,국가표준식품성분 코드 조회
15077804,농촌진흥청 국립농업과학원_농식품 식단관리 음식정보 제공,30232,식단관리(메뉴젠)의 음식명 정보 조회
15077787,농촌진흥청 국립농업과학원_농식품 기능성성분  플라보노이드 성분 정보,30218,기능성 플라보노이드 시료ID 정보 조회
15077801,농촌진흥청 국립농업과학원_농식품 기능성 페놀산 성분정보 제공,30229,기능성 페놀산 시료ID 정보 조회
15084594,농촌진흥청 국립원예특작과학원_주요연구성과 조회 서비스,32687,국립원예특작과학원 주요연구성과 목록
15084591,농촌진흥청 국립원예특작과학원_원예특용작물 요리 조회 서비스,32685,국립원예특작과학원 원예특용작물 요리 목록
15002002,농촌진흥청_농업기계 안전정보,5845,농기계안전정보 목록 조회
15002059,농촌진흥청_작물영향정보 서비스,5833,작물영향진단 작물 조회
15034525,농촌진흥청 국립원예특작과학원_감귤생육품질정보,21548,감귤 발아/만개기 정보 조회
15040630,농촌진흥청_국립원예특작과학원_원예특용작물 기술정보 조회 서비스,23006,원예·특용작물 기술정보 상세보기
15040631,농촌진흥청_국립원예특작과학원_인삼특작 추출물정보 조회 서비스,23009,추출조건
15041539,농촌진흥청 국립원예특작과학원_사과생육품질정보,23058,사과 만개기 정보 조회
15041818,농촌진흥청 국립식량과학원_벼지적시험결과성적,23511,작물벼지적시험결과
15041820,농촌진흥청 국립식량과학원_수시분양,23512,작물수시분양통계조회
15041872,농촌진흥청 국립식량과학원_지적시험코드조회,23418,작물벼지적시험코드조회
15042594,농촌진흥청_스마트팜 우수농가 공개용 데이터,26827,우수농가 온실환경정보 조회
3061376,농촌진흥청 국립원예특작과학원_과수재배변동정보,20579,과수재배면적 정보 조회
15078022,산림청 국립산림과학원_청정넷_그린인프라,33873,그린인프라 조회(WMS)
15083709,산림청 국립산림과학원_목재소비추세 서비스,33969,목재소비추세정보 조회
15078013,산림청 국립산림과학원_청정넷_운영현황,33780,산림 미세먼지 측정넷(AICAN)의 운영현황 조회 (형식 : WFS)
15084708,산림청 국립산림과학원_산림연구과제 및 성과 서비스,34038,성과 상세 데이터 정보 조회
15078027,산림청 국립산림과학원_청정넷_그레이인프라,33869,그레이인프라 조회[ATTR]
15083744,산림청 국립산림과학원_임업기술핸드북,34005,검색데이터(Table) 정보
15083696,산림청 국립산림과학원_임업경제동향 서비스,33954,국산원목가격 조회
15084696,산림청 국립산림과학원_산악 기상정보,33947,산악기상정보 조회
15084817,산림청 국립산림과학원_산불위험예보정보 서비스,33961,산불위험지수(전국) 데이터 정보조회
15084808,산림청 국립산림과학원_산림과학도서관 서비스,34166,상세데이터 정보 조회
15084717,산림청 국립산림과학원_산림생명자원 정보,33970,산림생명자원 데이터 정보 조회
15078028,산림청 국립산림과학원_청정넷_사용자가치,33866,사용자가치DB 조회 [ATTR]
15083722,산림청 국립산림과학원_산림생장정보서비스,33974,입목수간재적정보 조회
