FILE_000000002446186,대전광역시_동물원 및 수족관 등록 현황_20210331.csv
FILE_000000002449192,인천광역시 남동구_이비인후과_20210930.csv
FILE_000000002449334,(주)에스알 연간 월별이용객수(경로).csv
FILE_000000002435657,자가용전기설비 사용전검사 지역별,연도별  결과.csv
FILE_000000002448175,인천광역시_서구_공공일자리현황_20210907.csv
FILE_000000002361996,청소년활동 및 생활 사고 통계.zip
FILE_000000002448516,tn_lms_favorite_course_category.csv
FILE_000000002446468,대전광역시_시내버스 기점지 목록_20210101.csv
FILE_000000002445418,3년간 생활주변방사선 안전교육 운영현황.csv
FILE_000000002449528,인천광역시_서구_폐기물중간재활용 업체 현황_20210915.csv
FILE_000000002443744,서울특별시 대기질 자료 제공(초미세먼지, 미세먼지)_200801-202105.zip
FILE_000000002433304,세종특별자치시 보훈대상자 인원현황(2021년 8월말 기준).csv
FILE_000000001251248,전주시 장사시설 정보(2014년).zip
FILE_000000002440924,전국 자동차검사소 현황_20210916.csv
FILE_000000002450301,인천광역시_등록체육시설업 현황_20200331.csv
FILE_000000002436044,대구시설공단_체육시설_매출정보_20210818.csv
FILE_000000002443250,공시알림기관_20210824.csv
FILE_000000002446951,대전광역시_지방세납부현황_20191231.csv
FILE_000000002433284,강원도 보훈대상자 인원현황(2021년 8월말 기준).csv
FILE_000000002382765,대기배출사업장 현황(유성구).zip
FILE_000000001593528,2018년_남북협력사업(사회문화분야)_승인내역.zip
FILE_000000002447219,환경부 한강홍수통제소_홍수예보_표준유역 MAPLE강수량_20210803.csv
FILE_000000001367948,2016년도 조혈모세포 기증사업 현황 최종.csv
FILE_000000001247704,강동구도시관리공단 공영주차장 정보(2014년).csv
FILE_000000001597866,충청북도_청주시_고인쇄박물관 표준유물관리시스템_전시관리_20191220.zip
FILE_000000002433751,인천광역시 남동구_보건소치과진료실 운영현황_20210908.csv
FILE_000000002442530,전국 아동서점 및 상세운영정보(2021).csv
FILE_000000002370549,동식물상_20210113.zip
FILE_000000002429123,인천광역시_중구_서점 현황_20210805.csv
FILE_000000002442303,서울특별시_용산구_옥상공원현황_20210915.csv
FILE_000000002445363,충청남도_아산시_자전거보관소_20210924.csv
FILE_000000002445390,연간 기술기업제품 구매현황.csv
