id,name
F100003662,경찰청_서울특별시지방경찰청_관서별 5대범죄 발생 및 검거 현황_2010.csv
F100003663,경찰청_서울특별시지방경찰청_관서별 5대범죄 발생 및 검거 현황_2011.csv
F100003664,경찰청_서울특별시지방경찰청_관서별 5대범죄 발생 및 검거 현황_2012.csv
F100003874,실종 아동 등 가출인 접수 현황.csv
F100003875,여성 아동폭력 피해자 수 현황.csv
F100003885,여성 아동폭력 피해자 지원센터 운영실적 현황.csv
F100004316,교육부 국립특수교육원_통합형_직업교육_거점학교_운영현황_20200905.csv
F100004317,교육부 국립특수교육원_특수학교 학교기업 운영 현황_20200905.csv
F100003665,경찰청_서울특별시지방경찰청_관서별 5대범죄 발생 및 검거 현황_2013.csv
F100003666,경찰청_서울특별시지방경찰청_관서별 5대범죄 발생 및 검거 현황_2014.csv
F100003667,경찰청_서울특별시지방경찰청_관서별 5대범죄 발생 및 검거 현황_2015.csv
F100003668,경찰청_서울특별시지방경찰청_관서별 5대범죄 발생 및 검거 현황_2016.csv
F100003670,경찰청_서울특별시지방경찰청_관서별 5대범죄 발생 및 검거 현황_2018.csv
F100003671,경찰청_서울특별시지방경찰청_관서별 5대범죄 발생 및 검거 현황_2019.csv
F100003672,2020년 서울경찰청 경찰서별 5대범죄 발생 및 검거현황.csv
F100003673,경찰청_서울특별시지방경찰청_관서별 5대범죄 발생 및 검거 현황_2000.csv
F100003675,경찰청 부산광역시경찰청_교통사고 발생 현황.csv
F100003676,경찰청 부산광역시지방경찰청_교통사고 발생 현황.csv
F100003677,(교통)경찰청 충청북도경찰청_청주권 무인교통단속장비 연도별 운영대수 현황.csv
F100003679,경찰청 경기도북부경찰청_소방시설주변 주정차금지구역 현황.csv
F100004130,여성 아동폭력 피해자 지원센터 인원 현황.csv
F100004333,교육부 국사편찬위원회_한국역사자료 메타데이터 정보_인물.csv
F100004340,교육부 국립특수교육원_특수교육지원센터현황_20200905.csv
F100004341,교육부 국립특수교육원_특수학교현황_20200905.csv
F100004345,국립국제교육원_정부초청외국인장학생_연도별_선발현황_2020.9월.csv
F100004346,국립국제교육원_정부초청영어봉사장학생(TaLK)_뉴스레터현황.csv
F100004347,국립국제교육원_정부초청영어봉사장학생(TaLK)_기수별 현황.csv
F100003683,경찰청 대구광역시경찰청 _관서별 교통사고 현황.csv
F100003684,광주광역시경찰청_민간경비업체현황_20210810.csv
F100003685,광주지방경찰청_민간경비업체현황_20200528.csv
F100003686,광주지방경찰청_지구대파출소현황_20200528.csv
F100003689,경남경찰역사순례길.csv
F100003691,전라북도경찰청 교통법규위반단속 현황_20201231.csv
F100003692,경찰청_경상남도지방경찰청_자동차운전전문학원현황_20200930.csv
F100003693,경찰청_경상남도지방경찰청_자동차운전전문학원현황_20200630.csv
F100003694,경찰청_경상남도경찰청_자동차운전전문학원현황_20210331.csv
F100003913,외국인 범죄 단속 현황.csv
F100003916,운전면허 소지자 현황.csv
F100003917,운전면허 행정처분 면허정지취소 현황.csv
F100003918,운전면허 행정처분 현황.csv
F100003919,음주교통사고 발생 현황.csv
F100003920,정보통신망 이용 범죄 현황.csv
F100004354,교육부 국사편찬위원회_한국사데이터베이스 정보_한국근현대인물자료.csv
F100004356,교육부 국사편찬위원회_한국사데이터베이스 정보_삼일운동DB 데이터_사건-세부장소(연결정보).csv
